title,damage-april-2015-transect
authors,"Erin Spear, Erin Mordecai, Meredith McClintock (?)"
location,transect experiment in Jasper Ridge Biological Preserve
date,20150425
entered-original,JRBPmidAprPathPrcntDamCulturesData_25Apr2015ERS.xls (more info in this file)
,
columns,meaning
observer,observer of leaf damage (see authors)
recorder,recorder of leaf damage (see authors)
date,date of observation
Transect,transect number (1 - 10)
Plot,plot ID (A - E)
Species,"grass species ID (AB = Avena barbata, BH = Bromus hordeaceus, SP = Stipa pulchra, PA = Phalaris aquatica, BD = Bromus diandrus, EG = Elymus glaucus)"
leaf1,percentage of leaf area damaged
leaf2,percentage of leaf area damaged
leaf3,percentage of leaf area damaged
leaf4,percentage of leaf area damaged
leaf5,percentage of leaf area damaged
leaf6,percentage of leaf area damaged
notes,