species,abbreviation.2015,abbreviation.2016,perennial,annual_notes,status,grass_group,CalfloraInvasive,minHeight.cm,maxHeight.cm,extremeMinHeight.cm,extremeMaxHeight.cm,source,data,firstRecordJRBP_year,firstRecordJRBP_month,firstRecordJRBP_day,firstRecordJRBP_source,arrivalDateJRBP,arrivalDate_source,earliestConsortiumRecord,consortium_source,consortium_note
Avena barbata,AVEbar,AVEbar,0,NA,nonnative,non.ann,1,60,80,30,150,Jepson,habit,1967,3,26,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1893,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,"San Mateo or Santa Clara counties, confirmed on Consortium website"
Avena fatua,AVEfat,AVEfat,0,NA,nonnative,non.ann,1,30,160,NA,NA,Jepson,habit,1973,4,14,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1893,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,"San Mateo or Santa Clara counties, confirmed on Consortium website"
Avena sp.,Avena,Avena,0,NA,nonnative,non.ann,1,30,160,NA,NA,Jepson,habit,NA,NA,NA,NA,1920,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1893,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,"San Mateo or Santa Clara counties, confirmed on Consortium website, assumed A. barbata or fatua"
Bromus diandrus,BROdia,BD,0,NA,nonnative,non.ann,1,15,120,NA,NA,Jepson,habit,1963,4,28,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1935,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1896,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,"San Mateo or Santa Clara counties, confirmed on Consortium website"
Bromus hordeaceus,BROhor,BH,0,NA,nonnative,non.ann,1,11,65,NA,NA,Jepson,habit,1957,4,16,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1935,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1895,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,San Mateo or Santa Clara counties
Festuca myuros,FESmyu,FEMY,0,NA,nonnative,non.ann,1,NA,75,NA,NA,Jepson,stem,1957,4,21,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1935,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1932,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,San Mateo or Santa Clara counties
Brachypodium distachyon,BRAdis,BRADIS,0,NA,nonnative,non.ann,1,15,40,NA,NA,Jepson,habit,1977,6,4,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1977,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1957,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,"San Mateo or Santa Clara counties, confirmed on Consortium website"
Gastridium phleoides,GAST,GAST,0,NA,nonnative,non.ann,0,20,40,10,70,Jepson,habit,1963,6,,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1935,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1894,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,San Mateo or Santa Clara counties
Elymus glaucus,ELYgla,EG.adult,1,NA,native,nat.per,0,30,140,NA,NA,Jepson,stem,1962,5,31,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1907,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,"San Mateo or Santa Clara counties, earliest record in CA is 1860"
Stipa pulchra,STIpul,SP.adult,1,NA,native,nat.per,0,35,100,NA,NA,Jepson,habit,1955,5,6,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1932,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,"San Mateo or Santa Clara counties, earliest record in CA is 1895"
Phalaris aquatica,PHAaqu,PHAaqu,1,NA,nonnative,other,1,40,200,NA,NA,Jepson,stem,1962,7,15,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1962,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1954,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,San Mateo or Santa Clara counties
Bromus sterilis,BROste,BROste,0,NA,nonnative,non.ann,0,25,85,NA,NA,Jepson,habit,1990,4,8,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1990,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1990,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,San Mateo or Santa Clara counties
Festuca perennis,FESper,FESper,1,can be either annual or perennial,nonnative,other,1,50,130,30,NA,Jepson,habit,1959,8,22,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,1935,https://jrbp.stanford.edu/content/oakmead-herbarium-arrivals-weeds,1901,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,San Mateo or Santa Clara counties
Elymus glaucus,EG.seed,EG.seed,1,NA,native,nat.per,0,30,140,NA,NA,Jepson,stem,1962,5,31,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1907,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,"San Mateo or Santa Clara counties, earliest record in CA is 1860"
Stipa pulchra,SP.seed,SP.seed,1,NA,native,nat.per,0,35,100,NA,NA,Jepson,habit,1955,5,6,https://jrbp.stanford.edu/content/oakmead-herbarium-jasper-ridge-biological-preserve-order-poales,NA,NA,1932,http://ucjeps.berkeley.edu/cgi-bin/get_consort.pl,"San Mateo or Santa Clara counties, earliest record in CA is 1895"
Forb,Forb,Forb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabaceae,Fabaceae,Fabaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unidentified grass,POA,POA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA